"#";"Name";"RefDes";"RIGID_PN";"Quantity"
"1";"E298_4U7";"C1, C2";"CPART004u7";"2"
"2";"E298_0u1";"C3, C5, C7";"CPART000u1";"3"
"3";"E298_10U0";"C4, C6";"CPART10u0";"2"
"4";"E298_GREEN 5mm D. 3/4";"D1";"QPARTG5D34";"1"
"5";"E298_ORANGE 5mm C. 3/4";"D2";"QPARTO5C34";"1"
"6";"E298_RED 5mm D. 3/4";"D3";"QPARTR5D34";"1"
"7";"OPA344";"IC1";"APART344";"1"
"8";"E298_TB6612FNG";"IC2";"DPART6612";"1"
"9";"E298_CONN_1x10";"J1, J4, J5";"HPART1x10";"3"
"10";"E298_CONN_1x2";"J2, J3, J6, J8, J9";"HPART1x2";"5"
"11";"E298_DC_Power_Connector";"J7";"HPART007";"1"
"12";"E298_1K0";"R1, R2, R3, R10, R11, R12, R13, R14";"RPART1K";"8"
"13";"E298_10K0";"R4, R5, R6";"RPART10K";"3"
"14";"E298_100R0";"R7, R8, R9";"RPART100R";"3"
"15";"TEST_POINT";"TP1, TP2, TP3, TP4, TP5, TP6, TP8, TP9, TP10";"";"9"
"16";"E298_HEFFECT";"U1, U4";"UPART1815";"2"
"17";"E298_NEW_MIC";"U2";"UPART6022P";"1"
"18";"E298_74HC4051";"U3";"LPART4051";"1"
"19";"E298_RPOT10K";"VR1";"VRPART010K";"1"
"";"";"";"";"49"
